windname,level,pressure,movespeed,latitude,longtitude,count,number,windspeed
威马逊（Rammasun),热带低压,998,20,23.3,104.6,1,107,16
威马逊（Rammasun),热带风暴,996,20,23,105.1,1,106,18
威马逊（Rammasun),热带风暴,994,17,22.9,105.6,1,105,20
威马逊（Rammasun),热带风暴,990,20,22.9,106.2,1,104,23
威马逊（Rammasun),热带风暴,990,20,22.8,106.4,1,103,23
威马逊（Rammasun),热带风暴,990,20,22.7,106.6,1,102,23
威马逊（Rammasun),强热带风暴,988,20,22.7,106.8,1,101,25
威马逊（Rammasun),强热带风暴,985,20,22.4,106.9,1,100,28
威马逊（Rammasun),强热带风暴,980,20,22.1,107.1,1,99,
威马逊（Rammasun),台风,975,20,22.1,107.3,1,98,
威马逊（Rammasun),台风,970,25,22.1,107.5,1,97,35
威马逊（Rammasun),台风,965,25,21.9,107.6,1,96,38
威马逊（Rammasun),台风,965,20,21.9,107.7,1,95,38
威马逊（Rammasun),台风,965,20,21.9,107.8,1,94,40
威马逊（Rammasun),台风,965,20,21.8,108.1,1,93,40
威马逊（Rammasun),强台风,960,20,21.7,108.4,1,92,45
威马逊（Rammasun),强台风,950,16,21.6,108.6,1,91,48
威马逊（Rammasun),强台风,945,20,21.5,108.8,1,90,50
威马逊（Rammasun),强台风,945,20,21.4,109,1,89,50
威马逊（Rammasun),超强台风,940,20,21.2,109.2,1,88,52
威马逊（Rammasun),超强台风,940,20,21,109.3,1,87,52
威马逊（Rammasun),超强台风,940,20,20.9,109.5,1,86,52
威马逊（Rammasun),超强台风,940,21,20.7,109.6,1,85,52
威马逊（Rammasun),超强台风,940,22,20.7,109.7,1,84,
威马逊（Rammasun),超强台风,935,22,20.5,109.9,1,83,52
威马逊（Rammasun),超强台风,935,22,20.4,110,1,82,52
威马逊（Rammasun),超强台风,930,22,20.4,110.1,1,81,55
威马逊（Rammasun),超强台风,915,22,20.3,110.3,1,80,55
威马逊（Rammasun),超强台风,915,20,20.2,110.5,1,79,60
威马逊（Rammasun),超强台风,910,20,20.2,110.6,1,78,60
威马逊（Rammasun),超强台风,910,20,20.1,110.7,1,77,60
威马逊（Rammasun),超强台风,910,20,20,110.9,1,76,60
威马逊（Rammasun),超强台风,910,20,19.9,111,1,75,60
威马逊（Rammasun),超强台风,915,20,19.9,111.3,1,74,60
威马逊（Rammasun),超强台风,920,20,19.8,111.5,1,73,
威马逊（Rammasun),超强台风,920,20,19.6,111.8,1,72,60
威马逊（Rammasun),超强台风,920,20,19.5,111.9,1,71,60
威马逊（Rammasun),超强台风,930,20,19.3,112.1,1,70,55
威马逊（Rammasun),超强台风,930,20,19.1,112.2,1,69,55
威马逊（Rammasun),超强台风,930,20,19,112.3,1,68,55
威马逊（Rammasun),超强台风,935,20,18.9,112.5,1,67,52
威马逊（Rammasun),超强台风,935,20,18.9,112.6,1,66,52
威马逊（Rammasun),超强台风,935,20,18.8,112.9,1,65,52
威马逊（Rammasun),强台风,940,22,18.6,113.1,1,64,50
威马逊（Rammasun),强台风,940,22,18.5,113.2,1,63,50
威马逊（Rammasun),强台风,940,24,18.4,113.4,1,62,50
威马逊（Rammasun),强台风,945,24,18.3,113.6,1,61,48
威马逊（Rammasun),强台风,945,24,18.1,113.8,1,60,48
威马逊（Rammasun),强台风,945,24,17.9,113.9,1,59,48
威马逊（Rammasun),强台风,950,23,17.8,114.1,1,58,45
威马逊（Rammasun),强台风,950,23,17.6,114.2,1,57,45
威马逊（Rammasun),强台风,955,23,17.5,114.3,1,56,42
威马逊（Rammasun),强台风,955,23,17.4,114.4,1,55,42
威马逊（Rammasun),强台风,955,22,17.3,114.6,1,54,42
威马逊（Rammasun),强台风,955,22,17.2,114.7,1,53,42
威马逊（Rammasun),台风,960,23,17,114.9,1,52,40
威马逊（Rammasun),台风,960,23,16.9,115,1,51,
威马逊（Rammasun),台风,960,23,16.8,115.2,1,50,40
威马逊（Rammasun),台风,965,23,16.7,115.3,1,49,38
威马逊（Rammasun),台风,965,23,16.6,115.4,1,48,38
威马逊（Rammasun),台风,965,23,16.5,115.5,1,47,38
威马逊（Rammasun),台风,970,20,16.5,115.5,1,46,35
威马逊（Rammasun),台风,970,20,16.5,115.7,1,45,35
威马逊（Rammasun),台风,970,22,16.4,115.9,1,44,35
威马逊（Rammasun),台风,970,20,16.3,116,1,43,35
威马逊（Rammasun),台风,970,20,16.2,116.2,1,42,35
威马逊（Rammasun),台风,970,20,16.1,116.4,1,41,
威马逊（Rammasun),台风,970,20,16,116.5,1,40,35
威马逊（Rammasun),台风,970,20,16,116.6,1,39,35
威马逊（Rammasun),台风,970,20,16,116.7,1,38,
威马逊（Rammasun),台风,970,25,15.9,116.9,1,37,35
威马逊（Rammasun),台风,970,25,15.8,117.2,1,36,35
威马逊（Rammasun),台风,970,25,15.7,117.4,1,35,35
威马逊（Rammasun),台风,970,25,15.7,117.5,1,34,35
